Manga ID,Manga URL,English Title,Synonims Titles,Japanese Title,Type,Volumes,Chapters,Status,Published,Published Dates,Genres,Author,Serialization,Score,Ranked,Popularity,Members,Favorites,Score Voted By
1224,https://myanimelist.net/manga/1224/3-gatsu_no_Lion,Unknown,"Sangatsu no Lion, March Comes in Like a Lion, Lion of March",3月のライオン,Manga,Unknown,Unknown,Publishing,"Jul  13, 2007 to ?","{'from': '2007-07-13', 'to': 'Unknown'}","['Drama', 'Game', 'Slice', 'Slice', 'Seinen']","['Umino, Chika (Story & Art)']",Young Animal,8.81,29,276,32001,2240,9035
44227,https://myanimelist.net/manga/44227/Monogatari_Series__Final_Season,Unknown,"Tsukimonogatari, Koyomimonogatari, Zoku Owarimonogatari",〈物語〉シリーズ ファイナルシーズン,Novel,6,231,Finished,"Sep  28, 2012 to Sep  18, 2014","{'from': '2012-09-28', 'to': '2014-09-18'}","['Comedy', 'Mystery', 'Vampire', 'Supernatural']","['NISIO, ISIN (Story)', ' VOFAN (Art)']",None,8.8,30,1119,9879,246,1919
44347,https://myanimelist.net/manga/44347/One_Punch-Man,One-Punch Man,"Onepunchman, Onepanman, OPM",ワンパンマン,Manga,Unknown,Unknown,Publishing,"Jun  14, 2012 to ?","{'from': '2012-06-14', 'to': 'Unknown'}","['Action', 'Comedy', 'Parody', 'Sci', 'Sci', 'Super', 'Super', 'Supernatural']","['Murata, Yusuke (Art)', ' ONE (Story)']",Tonari no Young Jump,8.77,31,7,249062,23503,117345
44489,https://myanimelist.net/manga/44489/Houseki_no_Kuni,Land of the Lustrous,Unknown,宝石の国,Manga,Unknown,Unknown,Publishing,"Oct  25, 2012 to ?","{'from': '2012-10-25', 'to': 'Unknown'}","['Action', 'Fantasy', 'Seinen']","['Ichikawa, Haruko (Story & Art)']",Afternoon,8.77,32,193,41565,4302,12246
418,https://myanimelist.net/manga/418/Mushishi,Mushishi,Mushi-shi,蟲師,Manga,10,50,Finished,"Nov 1999 to Aug  25, 2008","{'from': '1999-11-00', 'to': '2008-08-25'}","['Mystery', 'Fantasy', 'Historical', 'Supernatural', 'Seinen']","['Urushibara, Yuki (Story & Art)']",Afternoon,8.77,33,163,46511,2298,12793
122663,https://myanimelist.net/manga/122663/Tower_of_God,Tower of God,Sin-ui Tap,신의 탑,Manhwa,Unknown,Unknown,Publishing,"Jul  5, 2010 to ?","{'from': '2010-07-05', 'to': 'Unknown'}","['Action', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",['SIU (Story & Art)'],Naver Webtoon,8.76,34,120,59474,5946,24687
4,https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou,Unknown,"Yokohama Shopping Log, Yokohama Shopping Trip, Touge",ヨコハマ買い出し紀行,Manga,14,142,Finished,"Apr  25, 1994 to Feb  25, 2006","{'from': '1994-04-25', 'to': '2006-02-25'}","['Drama', 'Sci', 'Sci', 'Slice', 'Slice', 'Seinen']","['Ashinano, Hitoshi (Story & Art)']",Afternoon,8.73,35,206,39806,3448,11067
21,https://myanimelist.net/manga/21/Death_Note,Death Note,Unknown,DEATH NOTE,Manga,12,108,Finished,"Dec  1, 2003 to May  15, 2006","{'from': '2003-12-01', 'to': '2006-05-15'}","['Mystery', 'Drama', 'Shounen', 'Supernatural', 'Psychological']","['Obata, Takeshi (Art)', ' Ohba, Tsugumi (Story)']",Shounen Jump (Weekly),8.73,36,8,247508,29035,149712
657,https://myanimelist.net/manga/657/Real,Real,Unknown,リアル,Manga,Unknown,Unknown,Publishing,1999 to ?,"{'from': '1999-00-00', 'to': 'Unknown'}","['Drama', 'Sports', 'Psychological', 'Seinen']","['Inoue, Takehiko (Story & Art)']",Young Jump,8.73,37,288,31030,1394,7176
1859,https://myanimelist.net/manga/1859/Natsume_Yuujinchou,Natsume's Book of Friends,"The Natsume Book of Friends, Manabiya no Sumi, Natsu ni wa Tameiki wo Tsuku",夏目友人帳,Manga,Unknown,Unknown,Publishing,"Jun  10, 2003 to ?","{'from': '2003-06-10', 'to': 'Unknown'}","['Drama', 'Shoujo', 'Supernatural']","['Midorikawa, Yuki (Story & Art)']",LaLa DX,8.73,38,297,30104,1852,8350
