Manga ID,Manga URL,English Title,Synonims Titles,Japanese Title,Type,Volumes,Chapters,Status,Published,Published Dates,Genres,Author,Serialization,Score,Ranked,Popularity,Members,Favorites,Score Voted By
103701,https://myanimelist.net/manga/103701/Beastars,Unknown,Unknown,BEASTARS,Manga,Unknown,Unknown,Publishing,"Sep  8, 2016 to ?","{'from': '2016-09-08', 'to': 'Unknown'}","['Drama', 'Shounen', 'Slice', 'Slice', 'Psychological']","['Itagaki, Paru (Story & Art)']",Shounen Champion,8.65,61,178,43936,4035,16838
81,https://myanimelist.net/manga/81/Aria,Aria,Aria The Masterpiece,ARIA,Manga,12,67,Finished,"Feb  28, 2002 to Feb  29, 2008","{'from': '2002-02-28', 'to': '2008-02-29'}","['Adventure', 'Comedy', 'Drama', 'Sci', 'Sci', 'Shounen', 'Slice', 'Slice']","['Amano, Kozue (Story & Art)']",Comic Blade,8.64,62,402,23006,2180,7179
9726,https://myanimelist.net/manga/9726/Zaregoto_Series,Unknown,"Decapitation: Kubikiri Cycle, Strangulation: Kubishime Romanticist",戯言シリーズ,Novel,9,71,Finished,"Feb  5, 2002 to Nov  7, 2005","{'from': '2002-02-05', 'to': '2005-11-07'}","['Action', 'Mystery', 'Drama', 'Supernatural']","['NISIO, ISIN (Story)', ' Take (Art)']",None,8.64,63,818,12912,621,2263
42001,https://myanimelist.net/manga/42001/Song_of_the_Long_March,Unknown,"Choukakou, Chang Ge Xing",長歌行,Manhua,Unknown,Unknown,Publishing,Feb 2011 to ?,"{'from': '2011-02-00', 'to': 'Unknown'}","['Action', 'Adventure', 'Drama', 'Historical']","['Xia, Da (Story & Art)']",Comic Fans,8.64,64,531,18525,749,3536
72467,https://myanimelist.net/manga/72467/Shoujo_Shuumatsu_Ryokou,Girls' Last Tour,The End Girl Trip,少女終末旅行,Manga,6,47,Finished,"Feb  21, 2014 to Jan  12, 2018","{'from': '2014-02-21', 'to': '2018-01-12'}","['Adventure', 'Slice', 'Slice']",['Tsukumizu (Story & Art)'],Kurage Bunch,8.64,65,440,21102,1815,8248
399,https://myanimelist.net/manga/399/Kino_no_Tabi__The_Beautiful_World,Kino no Tabi: The Beautiful World,Kino's Journey: The Beautiful World,キノの旅 -the Beautiful World-,Novel,Unknown,Unknown,Publishing,"Mar  10, 2000 to ?","{'from': '2000-03-10', 'to': 'Unknown'}","['Adventure', 'Mystery', 'Drama', 'Fantasy', 'Sci', 'Sci', 'Psychological']","['Sigsawa, Keiichi (Story)', ' Kuroboshi, Kouhaku (Art)']",None,8.63,66,958,11318,387,1763
610,https://myanimelist.net/manga/610/Skip_Beat,Skip Beat!,Unknown,スキップ・ビート！,Manga,Unknown,Unknown,Publishing,"Feb  15, 2002 to ?","{'from': '2002-02-15', 'to': 'Unknown'}","['Comedy', 'Drama', 'Romance', 'Shoujo']","['Nakamura, Yoshiki (Story & Art)']",Hana to Yume,8.63,67,81,72958,9463,33948
22,https://myanimelist.net/manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan,Rurouni Kenshin: Meiji Swordsman Romantic Story,"Samurai X, Sengoku no Mikazuki, Crescent Moon in the Warring States, Crescent Moon Over a Country At War, Meteor Strike",るろうに剣心 -明治剣客浪漫譚-,Manga,28,259,Finished,"Apr  12, 1994 to Sep  21, 1999","{'from': '1994-04-12', 'to': '1999-09-21'}","['Action', 'Drama', 'Historical', 'Samurai', 'Shounen']","['Watsuki, Nobuhiro (Story & Art)']",Shounen Jump (Weekly),8.62,68,91,69192,7000,36782
745,https://myanimelist.net/manga/745/Pluto,Pluto: Urusawa x Tezuka,Unknown,PLUTO,Manga,8,65,Finished,"Sep  9, 2003 to Apr  1, 2009","{'from': '2003-09-09', 'to': '2009-04-01'}","['Action', 'Mystery', 'Mecha', 'Sci', 'Sci', 'Psychological', 'Seinen']","['Urasawa, Naoki (Story & Art)', ' Tezuka, Osamu (Story)']",Big Comic Original,8.62,69,140,54031,3080,22071
3006,https://myanimelist.net/manga/3006/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable,"Diamond Is Not Crash, Dai 4 Bu: Higashikata Jousuke",ジョジョの奇妙な冒険 ダイヤモンドは砕けない,Manga,18,174,Finished,"Apr  21, 1992 to Nov  21, 1995","{'from': '1992-04-21', 'to': '1995-11-21'}","['Action', 'Shounen', 'Supernatural']","['Araki, Hirohiko (Story & Art)']",Shounen Jump (Weekly),8.62,70,126,58572,5518,35341
